feature,coefficient,abs_coefficient
cat__zip_code_11694,-0.16940490709790557,0.16940490709790557
cat__contributing_factor_vehicle_1_other vehicular,-0.16900120157953336,0.16900120157953336
cat__vehicle_type_code_3_box truck,-0.1670561360678541,0.1670561360678541
cat__zip_code_11368,-0.16703173667976765,0.16703173667976765
cat__zip_code_group_11368,-0.16703173667976765,0.16703173667976765
cat__zip_code_11225,0.16604135143480558,0.16604135143480558
cat__vehicle_type_code_5_ambulance,-0.16600407046293272,0.16600407046293272
cat__contributing_factor_vehicle_1_steering failure,-0.16554691224453455,0.16554691224453455
cat__contributing_factor_vehicle_1_alcohol involvement,-0.1647042928306301,0.1647042928306301
cat__zip_code_group_11215,-0.16159317905795578,0.16159317905795578
cat__zip_code_11215,-0.16159317905795578,0.16159317905795578
cat__contributing_factor_vehicle_3_unknown,0.16082306509183236,0.16082306509183236
cat__zip_code_10473,-0.1600375069738436,0.1600375069738436
cat__zip_code_10306,-0.15862059179965507,0.15862059179965507
cat__zip_code_11367,0.15780825521318348,0.15780825521318348
cat__vehicle_type_code_1_pick-up truck,-0.15742484573256832,0.15742484573256832
cat__zip_code_11205,-0.1568952530705788,0.1568952530705788
cat__vehicle_type_code_5_motorcycle,-0.15689293439945756,0.15689293439945756
cat__zip_code_11418,0.15637448171236287,0.15637448171236287
cat__vehicle_type_code_5_snow plow,-0.15563578204631395,0.15563578204631395
cat__vehicle_type_code_1_ambulance,-0.154537737418907,0.154537737418907
cat__zip_code_group_11211,-0.15421979955161405,0.15421979955161405
cat__zip_code_11211,-0.15421979955161405,0.15421979955161405
cat__zip_code_10472,-0.15009867924899026,0.15009867924899026
cat__zip_code_group_10472,-0.15009867924899026,0.15009867924899026
cat__zip_code_11238,0.1493872600514201,0.1493872600514201
cat__vehicle_type_code_5_tractor truck diesel,-0.1472814662795947,0.1472814662795947
cat__zip_code_10469,0.14583831512743578,0.14583831512743578
